cduid,csdname,csduid,pop
3554,"Gauthier (TP), Ontario",3554066,142
3551,"Sheshegwaning 20 (IRI), Ontario",3551044,142
3528,"New Credit (Part) 40A (IRI), Ontario",3528035,148
3551,"Sheguiandah 24 (IRI), Ontario",3551042,139
3518,"Mississaugas of Scugog Island (IRI), Ontario",3518022,142
3558,"Pic Mobert South (IRI), Ontario",3558061,130
3560,"Whitefish Bay 34A (IRI), Ontario",3560083,130
3554,"Brethour (TP), Ontario",3554032,127
3557,"Thessalon 12 (IRI), Ontario",3557026,128
3549,"French River 13 (IRI), Ontario",3549076,124
3553,"Wahnapitei 11 (IRI), Ontario",3553040,120
3559,"Rainy Lake 18C (IRI), Ontario",3559061,118
3554,"Thornloe (VL), Ontario",3554038,115
3548,"Nipissing, Unorganized, South Part (NO), Ontario",3548091,106
3549,"Magnetewan 1 (IRI), Ontario",3549078,106
3559,"Saug-a-Gaw-Sing 1 (IRI), Ontario",3559053,100
3560,"Whitefish Bay 33A (IRI), Ontario",3560005,101
3556,"New Post 69A (IRI), Ontario",3556102,96
3557,"Goulais Bay 15A (IRI), Ontario",3557077,99
3560,"Northwest Angle 33B (IRI), Ontario",3560060,100
3558,"Ojibway Nation of Saugeen (Savant Lake) (IRI), Ontario",3558080,93
3558,"Pays Plat 51 (IRI), Ontario",3558063,92
3552,"Duck Lake 76B (IRI), Ontario",3552054,87
3557,"Gros Cap 49 (IRI), Ontario",3557078,80
3560,"Shoal Lake (Part) 40 (IRI), Ontario",3560082,74
3560,"Wabauskang 21 (IRI), Ontario",3560084,73
3560,"Lake Of The Woods 37 (IRI), Ontario",3560065,65
3554,"Matachewan 72 (IRI), Ontario",3554057,63
3551,"Zhiibaahaasing 19A (Cockburn Island 19A) (IRI), Ontario",3551100,57
3543,"Christian Island 30A (IRI), Ontario",3543070,46
3552,"Chapleau 74A (IRI), Ontario",3552053,22
3560,"Wawakapewin (Long Dog Lake) (IRI), Ontario",3560100,22
3556,"Cochrane, Unorganized, South East Part (NO), Ontario",3556098,10
3559,"Big Island Mainland 93 (IRI), Ontario",3559052,10
3549,"Henvey Inlet 2 (IRI), Ontario",3549075,5
3554,"Timiskaming, Unorganized, East Part (NO), Ontario",3554091,5
3559,"Long Sault 12 (IRI), Ontario",3559030,5
3559,"Rainy Lake 17B (IRI), Ontario",3559069,5
3541,"Chief's Point No. 28 (IRI), Ontario",3541056,0
3551,"Cockburn Island (TP), Ontario",3551034,0
3552,"Chapleau 75 (IRI), Ontario",3552058,0
3556,"Cochrane, Unorganized, South West Part (NO), Ontario",3556091,0
3556,"Moose Factory 68 (IRI), Ontario",3556096,0
3556,"Flying Post 73 (IRI), Ontario",3556100,0
3557,"Algoma, Unorganized, South East Part (NO), Ontario",3557094,0
3558,"Lake Nipigon (IRI), Ontario",3558077,0
3558,"Seine River 22A2 (IRI), Ontario",3558095,0
3558,"Lac des Mille Lacs 22A1 (IRI), Ontario",3558100,0
3559,"Sabaskong Bay (Part) 35C (IRI), Ontario",3559048,0
3559,"Agency 1 (IRI), Ontario",3559062,0
3559,"Seine River 23B (IRI), Ontario",3559065,0
3560,"Sabaskong Bay (Part) 35C (IRI), Ontario",3560007,0
3560,"Lansdowne House (S-É), Ontario",3560081,0
3560,"McDowell Lake (S-É), Ontario",3560102,0
